DISTANCE,TIME,RETRACAO,60ma_S,60ma_T,60ma_t,60ma_R,TEMPERATURE
2472.72,75652,1.0,,,,,53.3
2473.67,105737,0.99885,,,,,60.3
2470.92,135732,1.00219,,,,,62.9
2471.1,165676,1.00197,,,,,65.3
2474.53,195718,0.99781,,,,,68.0
2472.53,225710,1.00023,,,,,70.6
2473.48,255644,0.99908,,,,,73.4
2474.53,285736,0.99781,,,,,76.2
2474.53,315731,0.99781,,,,,79.6
2470.36,345762,1.00287,,,,,83.8
2472.53,375758,1.00023,,,,,87.6
2470.36,405709,1.00287,,,,,91.5
2470.54,435741,1.00265,,,,,95.3
2470.18,465737,1.00309,,,,,99.0
2471.29,495681,1.00174,,,,,102.9
2476.89,525774,0.99496,,,,,106.7
2470.54,555723,1.00265,,,,,110.5
2468.19,585722,1.00552,,,,,113.7
2473.29,615768,0.99931,,,,,116.4
2468.37,645709,1.0053,,,,,119.1
2470.36,675703,1.00287,,,,,121.9
2468.19,705752,1.00552,,,,,125.6
2464.75,735748,1.00973,,,,,128.7
2468.55,765679,1.00508,,,,,132.4
2472.72,795769,1.0,,,,,136.7
2474.9,825704,0.99736,,,,,140.7
2466.56,855800,1.00751,,,,,145.6
2468.55,885730,1.00508,,,,,149.3
2472.72,915719,1.0,,,,,153.4
2470.54,945756,1.00265,,,,,158.4
2472.72,975753,1.0,,,,,162.5
2466.19,1005691,1.00796,,,,,166.4
2466.38,1035768,1.00773,,,,,170.7
2464.02,1065761,1.01063,,,,,174.3
2466.01,1095698,1.00819,,,,,179.9
2467.83,1125787,1.00596,,,,,183.7
2466.93,1155728,1.00706,,,,,188.0
2470.36,1185715,1.00287,,,,,193.0
2457.34,1215753,1.01889,,,,,197.6
2466.01,1245744,1.00819,,,,,202.1
2462.21,1275780,1.01286,,,,,207.7
2449.54,1305769,1.02866,,,,,214.2
2459.86,1335717,1.01577,,,,,220.0
2457.69,1365807,1.01846,,,,,224.5
2457.51,1395747,1.01868,,,,,229.0
2457.69,1425725,1.01846,,,,,234.3
2458.05,1455765,1.01801,,,,,239.6
2455.52,1485754,1.02116,,,,,244.2
2451.89,1515695,1.0257,,,,,248.6
2453.88,1545779,1.02321,,,,,252.4
2455.52,1575709,1.02116,,,,,256.6
2452.07,1605694,1.02548,,,,,262.6
2444.86,1635783,1.03458,,,,,267.2
2451.71,1665724,1.02593,,,,,272.4
2439.06,1695804,1.04198,,,,,276.9
2443.04,1725732,1.03689,,,,,282.6
2448.27,1755728,1.03026,,,,,287.8
2453.88,1785767,1.02321,,,,,292.7
2437.06,1815757,1.04454,,,,,297.7
2435.42,1845693,1.04665,2463.78183,167.67167,960735.11667,1.01103,302.3
2453.18,1875784,1.02409,2463.45617,171.90167,990737.31667,1.01143,307.1
2457.16,1905717,1.01912,2463.181,176.095,1020736.98333,1.01177,311.9
2433.25,1935693,1.04946,2462.55317,180.325,1050736.33333,1.01256,316.7
2444.1,1965783,1.03554,2462.10317,184.58667,1080738.11667,1.01312,321.0
2447.03,1995729,1.03183,2461.64483,188.885,1110738.3,1.01368,325.9
2436.55,2025824,1.0452,2461.04517,193.22167,1140740.2,1.01443,330.8
2443.22,2055768,1.03666,2460.54083,197.59,1170742.26667,1.01506,335.5
2450.67,2085748,1.02724,2460.14317,201.99667,1200742.46667,1.01555,340.6
2445.38,2115778,1.03392,2459.65733,206.43,1230743.25,1.01615,345.6
2449.19,2145766,1.0291,2459.3045,210.875,1260743.31667,1.01659,350.5
2441.4,2175703,1.03898,2458.78567,215.33667,1290742.4,1.01724,355.3
2442.29,2205784,1.03785,2458.31783,219.80333,1320743.65,1.01782,359.5
2444.1,2235762,1.03554,2457.87717,224.3,1350744.0,1.01837,365.1
2446.28,2265693,1.03278,2457.47883,228.82167,1380743.26667,1.01886,370.3
2444.1,2295781,1.03554,2457.02567,233.36333,1410744.93333,1.01943,375.4
2443.74,2325766,1.036,2456.47317,237.925,1440744.8,1.02011,380.4
2448.27,2355800,1.03026,2456.102,242.50833,1470746.08333,1.02057,385.5
2450.08,2385793,1.02798,2455.80017,247.12167,1500747.26667,1.02094,390.5
2448.09,2415737,1.03049,2455.38017,251.77333,1530746.75,1.02146,395.5
2443.92,2445817,1.03577,2454.97267,256.46333,1560748.55,1.02197,400.5
2448.45,2475749,1.03003,2454.6075,261.19,1590749.31667,1.02242,405.5
2448.27,2505733,1.03026,2454.2755,265.93667,1620749.0,1.02284,410.4
