Number,DISTANCE,TEMPERATURE,Validate
74,2461.32,400.5,1
75,2461.32,400.5,1
76,2461.32,400.5,1
77,2461.32,400.5,1
78,2461.32,400.5,1
79,2461.32,400.5,1
100,2461.15,504.6,1
101,2461.32,509.9,1
102,2462.8,515.0,1
104,2455.52,525.3,1
105,2459.16,530.5,1
106,2458.98,535.7,1
107,2460.31,541.0,1
108,2449.54,546.2,1
109,2449.54,551.5,1
110,2440.54,556.7,1
111,2435.66,561.9,1
112,2414.46,567.2,1
113,2410.31,572.4,1
114,2386.72,577.7,1
116,2358.28,588.2,1
117,2358.86,593.6,1
118,2322.85,598.9,1
119,2322.85,604.1,1
120,2289.58,609.4,1
121,2270.68,614.7,1
122,2256.6,620.0,1
123,2245.04,625.4,1
124,2237.35,632.0,1
125,2227.35,637.4,1
126,2217.35,641.8,1
127,2217.35,646.8,1
128,2217.35,652.1,1
129,2217.35,657.4,1
131,2217.72,668.2,1
132,2217.40,673.5,1
