DISTANCE_MA5,TEMPERATURE_MA5,TIME_MA5,RETRACAO_MA5,DISTANCE_MA1,TEMPERATURE_MA1,TIME_MA1,RETRACAO_MA1,DISTANCE_MA3,TEMPERATURE_MA3,TIME_MA3,RETRACAO_MA3
1054.01345,547.15,-234415.8015,0.99568,1053.667833333334,547.6,-232023.411975,0.9966556666666676,1053.89085,547.5,-232557.27853,0.99603
1053.88447,547.25,-233911.96493,0.99605,1053.8758333333333,547.7,-231422.81209500003,0.9960633333333332,1053.70344,547.6,-232023.41197,0.99656
1053.87835,547.35,-233401.45503,0.99607,1053.6016666666665,547.8,-231022.412175,0.9968436111111108,1053.71511,547.7,-231489.54541,0.99652
1054.00422,547.45,-232887.60847,0.99571,1054.3554166666668,547.9,-230421.81229500004,0.9947183333333336,1053.94431,547.8,-230955.67885,0.99588
1054.08803,547.55,-232353.74191,0.99547,1055.2780555555555,548.0,-230088.14569500004,0.9921141666666664,1054.41171,547.9,-230510.79005,0.99456
1053.94696,547.65,-231803.19202,0.99587,1052.786388888889,548.1,-229420.812495,0.9991749999999998,1054.13995,548.0,-229976.92349,0.99534
1053.92844,547.75,-231272.66213,0.99593,1053.6991666666668,548.2,-228920.31259499997,0.9965725000000001,1053.9212,548.1,-229476.42359,0.99595
1053.85349,547.85,-230728.78557,0.99614,1053.2658333333336,548.3,-228319.712715,0.9978012500000004,1053.25046,548.2,-228886.94593,0.99785
1053.7446,547.95,-230198.25567,0.99645,1053.3491666666666,548.4,-227719.11283499995,0.9975612500000004,1053.43806,548.3,-228319.71271,0.99731
1053.71627,548.05,-229657.71578,0.99653,1053.2833333333333,548.5,-227218.61293500013,0.9977570833333332,1053.29944,548.4,-227752.47949,0.99771
1053.65979,548.15,-229143.86922,0.99669,1053.1030555555558,548.6,-226884.94633500004,0.9982697222222224,1053.24519,548.5,-227274.22403,0.99786
1053.73568,548.25,-228623.34932,0.99647,1054.634722222222,548.7,-226217.613135,0.9939177777777776,1053.6737,548.6,-226773.72413,0.99665
1053.77306,548.35,-228082.80943,0.99637,1053.9754166666671,548.8,-225617.01325500003,0.99578125,1053.9044,548.7,-226239.85757,0.99599
1053.80265,548.45,-227568.96287,0.99628,1054.651388888889,548.9,-225283.34665500003,0.993877222222222,1054.42051,548.8,-225705.99101,0.99453
1053.71443,548.55,-227021.74964,0.99653,1054.3958333333335,549.0,-224616.013455,0.9945974999999996,1054.34088,548.9,-225172.12445,0.99475
1053.80408,548.65,-226491.21975,0.99628,1053.6829166666666,549.1,-224115.51355500004,0.9966445833333336,1054.24338,549.0,-224671.62455,0.99504
1053.80113,548.75,-225950.67986,0.99629,1053.6695833333335,549.2,-223514.91367500005,0.9966616666666664,1053.91611,549.1,-224082.14689,0.99597
1053.80421,548.85,-225410.13996,0.99628,1053.2966666666662,549.3,-222914.313795,0.9977100000000002,1053.54972,549.2,-223514.91367,0.99701
1053.94021,548.95,-224879.61007,0.99589,1054.709166666667,549.4,-222413.81389500003,0.9937133333333332,1053.89181,549.3,-222947.68045,0.99603
1054.04146,549.05,-224349.08018,0.99561,1054.2958333333333,549.5,-221913.31399499997,0.9948816666666668,1054.10056,549.4,-222413.81389,0.99544
1053.95699,549.15,-223811.87695,0.99585,1052.2583333333334,549.6,-221512.914075,1.0006666666666668,1053.75444,549.5,-221946.68065,0.99642
1053.80451,549.25,-223291.35705,0.99628,1053.11,549.7,-221012.41417500007,0.9982413888888888,1053.22139,549.6,-221479.54741,0.99793
1053.70481,549.35,-222760.82716,0.99656,1052.9783333333337,549.8,-220311.71431500008,0.9986160416666666,1052.78222,549.7,-220945.68085,0.99917
1053.54708,549.45,-222193.59394,0.99701,1053.074166666667,549.9,-219611.01445500003,0.9983441666666664,1053.05417,549.8,-220311.71431,0.9984
1053.44479,549.55,-221643.04405,0.9973,1053.3729166666662,550.0,-219110.51455500003,0.9975033333333334,1053.14181,549.9,-219677.74777,0.99815
1053.46608,549.65,-221112.51416,0.99724,1053.8958333333333,550.1,-218810.21461500003,0.9960241666666664,1053.44764,550.0,-219177.24787,0.99729
1053.34758,549.75,-220591.99426,0.99757,1052.4845833333336,550.2,-218309.714715,1.000021041666667,1053.25111,550.1,-218743.48129,0.99785
1053.40492,549.85,-220071.47436,0.99741,1053.87,550.3,-217709.114835,0.99608375,1053.41681,550.2,-218276.34805,0.99738
1053.17385,549.95,-219540.94447,0.99807,1052.398541666667,550.4,-217108.51495500005,1.0002731249999997,1052.91771,550.3,-217709.11483,0.99879
1052.89898,550.05,-219000.40458,0.99885,1051.547083333333,550.5,-216507.91507500003,1.0027008333333336,1052.60521,550.4,-217108.51495,0.99969
1052.87901,550.15,-218449.85469,0.99891,1052.058611111111,550.6,-216007.415175,1.001251111111111,1052.00141,550.5,-216541.28173,1.00141
1052.89134,550.25,-217889.2948,0.99887,1053.2333333333333,550.7,-215406.81529499998,0.9978894444444446,1052.27968,550.6,-215974.04851,1.00061
1052.81534,550.35,-217358.7649,0.99909,1052.2183333333332,550.8,-215006.415375,1.0007791666666666,1052.50343,550.7,-215473.54861,0.99997
1052.76447,550.45,-216848.25501,0.99923,1052.5654166666664,550.9,-214505.915475,0.9997885416666664,1052.67236,550.8,-214973.04871,0.99949
1052.78648,550.55,-216317.72511,0.99917,1053.5930555555558,551.0,-213805.21561500002,0.9968775,1052.79227,550.9,-214439.18215,0.99915
1052.7434,550.65,-215747.15523,0.99929,1053.4650000000004,551.1,-213104.51575500003,0.9972429166666668,1053.20782,551.0,-213805.21561,0.99797
1052.87069,550.75,-215166.57534,0.99893,1053.7575,551.2,-212503.915875,0.9964183333333332,1053.60519,551.1,-213137.88241,0.99685
1052.70952,550.85,-214616.02545,0.99939,1052.2583333333334,551.3,-212203.61593499998,1.000664166666667,1053.16028,551.2,-212604.01585,0.99811
1052.76658,550.95,-214085.49556,0.99923,1052.9691666666668,551.4,-211803.216015,0.998646666666667,1052.995,551.3,-212170.24927,0.99858
1052.81765,551.05,-213544.95567,0.99908,1052.057708333333,551.5,-211102.51615500005,1.001251041666667,1052.4284,551.4,-211703.11603,1.00019
