Size,Time,RetracaoCubica,60ma_S,60ma_T,60ma_t,60ma_R,Temperature
2737.68,0,1.0,,,,,71.7
2739.61,30,0.9978899999999999,,,,,80.0
2738.54,60,0.9990600000000001,,,,,82.3
2750.28,90,0.9863200000000001,,,,,84.2
2745.41,120,0.9915799999999999,,,,,86.5
2861.83,150,0.8754200000000001,,,,,88.9
2752.36,180,0.98408,,,,,91.6
2739.68,210,0.9978100000000001,,,,,94.5
2739.68,240,0.9978100000000001,,,,,97.7
2739.68,270,0.9978100000000001,,,,,100.9
2766.52,300,0.96905,,,,,104.4
2766.52,330,0.96905,,,,,108.0
2766.52,360,0.96905,,,,,111.7
2766.52,390,0.96905,,,,,115.5
2766.52,420,0.96905,,,,,119.3
2959.56,450,0.7915300000000001,,,,,123.2
2749.61,480,0.9870399999999999,,,,,127.3
2772.26,510,0.96304,,,,,131.2
2758.19,540,0.9778600000000001,,,,,135.4
2855.97,570,0.88082,,,,,139.5
2766.69,600,0.9688700000000001,,,,,143.9
2766.69,630,0.9688700000000001,,,,,148.2
2766.69,660,0.9688700000000001,,,,,152.5
2760.44,690,0.9754700000000001,,,,,156.9
2762.27,720,0.9735299999999999,,,,,161.4
2874.03,750,0.8643200000000001,,,,,165.9
2874.03,780,0.8643200000000001,,,,,170.4
2874.03,810,0.8643200000000001,,,,,175.2
2874.03,840,0.8643200000000001,,,,,179.8
2874.03,870,0.8643200000000001,,,,,184.4
2713.53,900,1.02694,,,,,189.0
2755.41,930,0.98082,,,,,193.7
2755.41,960,0.98082,,,,,198.4
2747.28,990,0.98955,,,,,203.1
2741.61,1020,0.99571,,,,,207.8
2745.48,1050,0.9915,,,,,212.4
2744.54,1080,0.9925200000000001,,,,,217.1
2745.41,1110,0.9915799999999999,,,,,221.7
2747.0,1140,0.9898600000000001,,,,,226.3
2757.16,1170,0.97895,,,,,231.0
2755.22,1200,0.9810200000000001,,,,,235.7
2709.12,1230,1.03196,,,,,240.5
2767.74,1260,0.96777,,,,,245.3
2759.53,1290,0.9764299999999999,,,,,250.2
2765.4,1320,0.9702299999999999,,,,,255.1
2753.11,1350,0.9832799999999999,,,,,260.0
2773.73,1380,0.9615100000000001,,,,,264.8
2739.0,1410,0.99855,,,,,269.7
2763.47,1440,0.97226,,,,,274.5
2777.15,1470,0.9579700000000001,,,,,279.5
2795.09,1500,0.9396399999999999,,,,,284.5
2848.18,1530,0.88807,,,,,289.3
2806.92,1560,0.92781,,,,,294.4
2742.89,1590,0.99431,,,,,299.2
