Time,Size,RetracaoCubica,60ma_S,60ma_T,60ma_t,60ma_R,Temperature
0,2475.09,1,,,,,53.3
30,2469.3,1.007050889,,,,,60.3
60,2472.53,1.003109347,,,,,62.9
90,2463.14,1.014625319,,,,,65.3
120,2472.53,1.003109347,,,,,68
150,2462.95,1.014860152,,,,,70.6
180,2470.73,1.00530333,,,,,73.4
210,2466.56,1.010410693,,,,,76.2
240,2476.15,0.998716298,,,,,79.6
270,2468.92,1.007515957,,,,,83.8
300,2472.35,1.003328458,,,,,87.6
330,2470.54,1.00553529,,,,,91.5
360,2477.96,0.99652939,,,,,95.3
390,2474.34,1.000909609,,,,,99
420,2477.96,0.99652939,,,,,102.9
450,2476.15,0.998716298,,,,,106.7
480,2468.55,1.007969061,,,,,110.5
510,2472.35,1.003328458,,,,,113.7
540,2472.35,1.003328458,,,,,116.4
570,2472.17,1.003547633,,,,,119.1
600,2468.74,1.007736352,,,,,121.9
630,2461.15,1.017088482,,,,,125.6
660,2468.37,1.008189588,,,,,128.7
690,2473.98,1.001346613,,,,,132.4
720,2475.97,0.99893413,,,,,136.7
750,2470.92,1.005071441,,,,,140.7
780,2473.98,1.001346613,,,,,145.6
810,2456.6,1.022750367,,,,,149.3
840,2472.17,1.003547633,,,,,153.4
870,2472.17,1.003547633,,,,,158.4
900,2470.92,1.005071441,,,,,162.5
930,2474.16,1.001128079,,,,,166.4
960,2464.2,1.013316529,,,,,170.7
990,2470.18,1.005974989,,,,,174.3
1020,2470.18,1.005974989,,,,,179.9
1050,2466.19,1.010865534,,,,,183.7
1080,2452.62,1.027737469,,,,,188
1110,2464.02,1.013538618,,,,,193
1140,2460.59,1.01778307,,,,,197.6
1170,2464.2,1.013316529,,,,,202.1
1200,2456.79,1.022513097,,,,,207.7
1230,2464.2,1.013316529,,,,,214.2
1260,2454.24,1.025703639,,,,,220
1290,2456.05,1.023437615,,,,,224.5
1320,2448.45,1.032997493,,,,,229
1350,2450.08,1.030937153,,,,,234.3
1380,2458.59,1.020268913,,,,,239.6
1410,2458.78,1.02003241,,,,,244.2
1440,2461.85,1.016221134,,,,,248.6
1470,2440.88,1.042638362,,,,,252.4
1500,2442.11,1.041063741,,,,,256.6
1530,2444.1,1.038522891,,,,,262.6
1560,2450.08,1.030937153,,,,,267.2
1590,2447.73,1.03390933,,,,,272.4
1620,2439.76,1.044074926,,,,,276.9
1650,2444.29,1.038280729,,,,,282.6
1680,2441.93,1.041293975,,,,,287.8
1710,2450.26,1.030709967,,,,,292.7
1740,2437.24,1.04731686,,,,,297.7
1770,2456.65,1.02268792,2463.13317,167.67167,885,1.02268792,302.3
1800,2466.15,1.010914722,2462.98417,171.90167,915,1.010914722,307.1
1830,2466.15,1.010914722,2462.93167,176.095,945,1.010914722,311.9
1860,2466.15,1.010914722,2462.82533,180.325,975,1.010914722,316.7
1890,2466.15,1.010914722,2464.05883,184.58667,1005,1.010914722,321
1920,2466.15,1.010914722,2465.13583,188.885,1035,1.010914722,325.9
1950,2466.15,1.010914722,2458.17817,193.22167,1065,1.010914722,330.8
1980,2466.15,1.010914722,2458.54117,197.59,1095,1.010914722,335.5
2010,2466.15,1.010914722,2456.81217,201.99667,1125,1.010914722,340.6
2040,2466.15,1.010914722,2455.898,206.43,1155,1.010914722,345.6
2070,2466.15,1.010914722,2456.9545,210.875,1185,1.010914722,350.5
2100,2466.15,1.010914722,2457.71267,215.33667,1215,1.010914722,355.3
2130,2466.15,1.010914722,2459.49483,219.80333,1245,1.010914722,359.5
2160,2466.15,1.010914722,2461.066,224.3,1275,1.010914722,365.1
2190,2466.15,1.010914722,2459.71167,228.82167,1305,1.010914722,370.3
2220,2454.24,1.025703639,2459.31633,233.36333,1335,1.025703639,375.4
2250,2455.76,1.02380023,2458.9765,237.925,1365,1.02380023,380.4
2280,2462.21,1.015775454,2458.87083,242.50833,1395,1.015775454,385.5
2310,2449.9,1.031164406,2458.49667,247.12167,1425,1.031164406,390.5
2340,2467.12,1.009722804,2458.4095,251.77333,1455,1.009722804,395.5
2370,2448.83,1.032516678,2458.0205,256.46333,1485,1.032516678,400.5
