DISTANCE,TIME,RETRACAO,60ma_S,60ma_T,60ma_t,60ma_R,TEMPERATURE
2472.72,75652.0,1.0,,,,,53.3
2473.67,105737.0,0.99885,,,,,60.3
2470.92,135732.0,1.00219,,,,,62.9
2471.1,165676.0,1.00197,,,,,65.3
2474.53,195718.0,0.99781,,,,,68.0
2472.53,225710.0,1.00023,,,,,70.6
2473.48,255644.0,0.99908,,,,,73.4
2474.53,285736.0,0.99781,,,,,76.2
2474.53,315731.0,0.99781,,,,,79.6
2470.36,345762.0,1.00287,,,,,83.8
2472.53,375758.0,1.00023,,,,,87.6
2470.36,405709.0,1.00287,,,,,91.5
2470.54,435741.0,1.00265,,,,,95.3
2470.18,465737.0,1.00309,,,,,99.0
2471.29,495681.0,1.00174,,,,,102.9
2476.89,525774.0,0.99496,,,,,106.7
2470.54,555723.0,1.00265,,,,,110.5
2468.19,585722.0,1.00552,,,,,113.7
2473.29,615768.0,0.99931,,,,,116.4
2468.37,645709.0,1.0053,,,,,119.1
2470.36,675703.0,1.00287,,,,,121.9
2468.19,705752.0,1.00552,,,,,125.6
2464.75,735748.0,1.00973,,,,,128.7
2468.55,765679.0,1.00508,,,,,132.4
2472.72,795769.0,1.0,,,,,136.7
2474.9,825704.0,0.99736,,,,,140.7
2466.56,855800.0,1.00751,,,,,145.6
2468.55,885730.0,1.00508,,,,,149.3
2472.72,915719.0,1.0,,,,,153.4
2470.54,945756.0,1.00265,,,,,158.4
2472.72,975753.0,1.0,,,,,162.5
2466.19,1005691.0,1.00796,,,,,166.4
2466.38,1035768.0,1.00773,,,,,170.7
2464.02,1065761.0,1.01063,,,,,174.3
2466.01,1095698.0,1.00819,,,,,179.9
2467.83,1125787.0,1.00596,,,,,183.7
2466.93,1155728.0,1.00706,,,,,188.0
2470.36,1185715.0,1.00287,,,,,193.0
2457.34,1215753.0,1.01889,,,,,197.6
2466.01,1245744.0,1.00819,,,,,202.1
2462.21,1275780.0,1.01286,,,,,207.7
2449.54,1305769.0,1.02866,,,,,214.2
2459.86,1335717.0,1.01577,,,,,220.0
2457.69,1365807.0,1.01846,,,,,224.5
2457.51,1395747.0,1.01868,,,,,229.0
2457.69,1425725.0,1.01846,,,,,234.3
2458.05,1455765.0,1.01801,,,,,239.6
2455.52,1485754.0,1.02116,,,,,244.2
2451.89,1515695.0,1.0257,,,,,248.6
2453.88,1545779.0,1.02321,,,,,252.4
2455.52,1575709.0,1.02116,,,,,256.6
2452.07,1605694.0,1.02548,,,,,262.6
2444.86,1635783.0,1.03458,,,,,267.2
2451.71,1665724.0,1.02593,,,,,272.4
2439.06,1695804.0,1.04198,,,,,276.9
2443.04,1725732.0,1.03689,,,,,282.6
2448.27,1755728.0,1.03026,,,,,287.8
2453.88,1785767.0,1.02321,,,,,292.7
2437.06,1815757.0,1.04454,,,,,297.7
2435.42,1845693.0,1.04665,2463.78183,167.67167,960735.11667,1.01103,302.3
2453.18,1875784.0,1.02409,2463.45617,171.90167,990737.31667,1.01143,307.1
2457.16,1905717.0,1.01912,2463.181,176.095,1020736.98333,1.01177,311.9
2433.25,1935693.0,1.04946,2462.55317,180.325,1050736.33333,1.01256,316.7
2444.1,1965783.0,1.03554,2462.10317,184.58667,1080738.11667,1.01312,321.0
2447.03,1995729.0,1.03183,2461.64483,188.885,1110738.3,1.01368,325.9
2296.64,11464214.0,1.24809,2291.7585,479.02667,10579194.35,1.25619,330.4
2436.55,2025824.0,1.0452,2461.04517,193.22167,1140740.2,1.01443,330.8
2443.22,2055768.0,1.03666,2460.54083,197.59,1170742.26667,1.01506,335.5
2290.64,11434225.0,1.25792,2291.83333,484.06667,10549194.25,1.25607,339.4
2450.67,2085748.0,1.02724,2460.14317,201.99667,1200742.46667,1.01555,340.6
2445.38,2115778.0,1.03392,2459.65733,206.43,1230743.25,1.01615,345.6
2290.84,11404187.0,1.25759,2291.90667,489.04333,10519192.61667,1.25595,347.4
2449.19,2145766.0,1.0291,2459.3045,210.875,1260743.31667,1.01659,350.5
2285.15,11374203.0,1.26701,2291.95417,493.97167,10489192.63333,1.25587,351.6
2441.4,2175703.0,1.03898,2458.78567,215.33667,1290742.4,1.01724,355.3
2293.57,11344266.0,1.25311,2292.12783,498.91667,10459193.43333,1.25558,355.8
2442.29,2205784.0,1.03785,2458.31783,219.80333,1320743.65,1.01782,359.5
2294.54,11314185.0,1.25152,2291.91917,503.87667,10429191.65,1.25593,360.1
2274.29,11284245.0,1.28525,2291.905,508.85,10399192.2,1.25595,364.4
2444.1,2235762.0,1.03554,2457.87717,224.3,1350744.0,1.01837,365.1
2297.03,11254250.0,1.24745,2292.08783,513.83833,10369190.2,1.25565,368.9
2446.28,2265693.0,1.03278,2457.47883,228.82167,1380743.26667,1.01886,370.3
2294.83,11224211.0,1.25105,2292.23,518.83667,10339189.06667,1.25542,373.3
2444.1,2295781.0,1.03554,2457.02567,233.36333,1410744.93333,1.01943,375.4
2290.64,11194234.0,1.25792,2292.442,523.84833,10309188.95,1.25507,377.9
2443.74,2325766.0,1.036,2456.47317,237.925,1440744.8,1.02011,380.4
2292.64,11164157.0,1.25463,2292.687,528.87167,10279187.76667,1.25467,382.5
2448.27,2355800.0,1.03026,2456.102,242.50833,1470746.08333,1.02057,385.5
2286.65,11134220.0,1.26452,2292.9745,533.90333,10249187.93333,1.25421,387.1
2450.08,2385793.0,1.02798,2455.80017,247.12167,1500747.26667,1.02094,390.5
2294.64,11104242.0,1.25136,2293.12883,538.945,10219188.1,1.25396,391.7
2448.09,2415737.0,1.03049,2455.38017,251.77333,1530746.75,1.02146,395.5
2298.93,11074161.0,1.24436,2293.211,543.995,10189186.36667,1.25382,396.5
2443.92,2445817.0,1.03577,2454.97267,256.46333,1560748.55,1.02197,400.5
2280.95,11044222.0,1.27402,2293.15133,549.05,10159187.0,1.25392,401.3
2448.45,2475749.0,1.03003,2454.6075,261.19,1590749.31667,1.02242,405.5
2287.47,11014227.0,1.26316,2293.56717,554.11333,10129185.31667,1.25324,406.0
2448.27,2505733.0,1.03026,2454.2755,265.93667,1620749.0,1.02284,410.4
2294.73,10984201.0,1.25121,2293.49883,559.18667,10099184.58333,1.25335,410.9
2446.28,2535818.0,1.03278,2453.96767,270.71667,1650750.16667,1.02322,415.5
2272.66,10954216.0,1.28802,2293.68117,564.26333,10069184.36667,1.25306,415.9
2446.28,2565751.0,1.03278,2453.5965,275.51667,1680751.36667,1.02368,420.4
2290.74,10924175.0,1.25776,2294.23317,569.34333,10039182.61667,1.25214,420.9
2448.09,2595740.0,1.03049,2453.186,280.32833,1710750.88333,1.02419,425.4
2292.64,10894198.0,1.25463,2294.34333,574.425,10009182.58333,1.25196,425.8
2447.55,2625778.0,1.03117,2452.73017,285.13833,1740752.11667,1.02475,429.3
2292.94,10864261.0,1.25414,2294.08717,579.50667,9979182.41667,1.25239,430.8
2451.36,2655762.0,1.02637,2452.47683,289.91667,1770751.48333,1.02507,432.3
2294.93,10834177.0,1.25088,2294.17,584.59,9949180.46667,1.25225,435.8
2450.84,2685796.0,1.02702,2452.18167,294.73333,1800752.58333,1.02543,438.3
2290.64,10804198.0,1.25792,2294.35083,589.67167,9919180.33333,1.25196,440.7
2459.5,2715781.0,1.01621,2451.96133,299.575,1830753.61667,1.0257,443.9
2288.84,10774156.0,1.26089,2294.44067,594.755,9889179.11667,1.25181,445.7
2455.52,2745757.0,1.02116,2451.711,304.42,1860753.63333,1.02601,449.1
2296.73,10744217.0,1.24794,2294.5605,599.84,9859179.01667,1.25162,450.5
2453.88,2775796.0,1.02321,2451.397,309.28333,1890754.35,1.0264,454.3
2292.74,10714223.0,1.25447,2294.7465,604.92667,9829178.16667,1.25132,455.5
2455.52,2805786.0,1.02116,2451.21917,314.165,1920755.93333,1.02662,459.3
2293.35,10684142.0,1.25347,2294.80333,610.00833,9799176.61667,1.25122,460.4
2447.2,2835722.0,1.03161,2450.8995,319.05833,1950755.16667,1.02702,464.3
2305.13,10654216.0,1.23435,2295.19733,615.1,9769176.53333,1.25059,465.4
2451.01,2865810.0,1.02681,2450.68267,323.97667,1980755.98333,1.02729,469.4
2301.03,10624234.0,1.24096,2295.27667,620.19167,9739176.26667,1.25046,470.4
2457.69,2895734.0,1.01846,2450.544,328.88333,2010756.58333,1.02746,474.3
2298.73,10594195.0,1.24469,2295.15233,625.28333,9709174.98333,1.25067,475.3
2459.68,2925813.0,1.01599,2450.40817,333.81,2040757.01667,1.02763,479.3
2301.03,10564209.0,1.24096,2295.11133,630.37833,9679174.56667,1.25073,480.3
2450.84,2955804.0,1.02702,2450.14,338.74833,2070758.28333,1.02796,484.3
2288.94,10534130.0,1.26073,2295.10267,635.47167,9649173.2,1.25075,485.2
2457.69,2985739.0,1.01846,2449.92883,343.68833,2100758.68333,1.02822,489.4
2299.24,10504194.0,1.24386,2295.07467,640.56833,9619173.28333,1.25079,490.2
2450.84,3015827.0,1.02702,2449.8205,348.63667,2130759.91667,1.02835,494.5
2288.94,10474207.0,1.26073,2295.09383,645.66667,9589173.25,1.25076,495.1
2452.84,3045763.0,1.02451,2449.601,353.59333,2160760.23333,1.02863,499.5
2289.15,10444164.0,1.26038,2295.04567,650.765,9559171.55,1.25084,500.1
2457.34,3075748.0,1.01889,2449.51983,358.54167,2190759.7,1.02873,504.6
2295.04,10414180.0,1.2507,2294.953,655.865,9529171.56667,1.251,505.2
2457.69,3105831.0,1.01846,2449.65567,363.47,2220760.73333,1.02856,509.9
2297.03,10384250.0,1.24745,2295.2065,660.96167,9499171.5,1.25059,510.2
2457.51,3135764.0,1.01868,2449.6165,368.38667,2250761.51667,1.0286,515.0
2290.84,10354168.0,1.25759,2295.23133,666.06,9469169.66667,1.25055,515.1
2459.68,3165744.0,1.01599,2449.64967,373.315,2280760.46667,1.02856,520.2
2272.57,10324191.0,1.28817,2295.326,671.16167,9439169.46667,1.25039,520.3
2459.5,3195770.0,1.01621,2449.68283,378.25333,2310760.85,1.02852,525.3
2292.84,10294149.0,1.25431,2295.41167,676.26,9409168.1,1.25025,525.4
2370.135,6744953.5,1.143905,2372.5535,532.274165,5859964.491665,1.13936,530.5
2309.77,10234218.0,1.22693,2295.58783,686.455,9349167.33333,1.24996,535.5
2452.84,3255822.0,1.02451,2449.518,388.125,2370762.15,1.02873,535.7
2294.73,10204137.0,1.25121,2295.3755,691.55167,9319165.51667,1.2503,540.6
2459.68,3285798.0,1.01599,2449.58733,393.07167,2400762.88333,1.02864,541.0
2274.66,10174208.0,1.28462,2295.66733,696.65,9289165.25,1.24983,545.5
2448.85,3315733.0,1.02953,2449.53667,398.03167,2430763.51667,1.02871,546.2
2274.57,10144212.0,1.28477,2295.957,701.74833,9259164.8,1.24935,550.5
2451.71,3345816.0,1.02593,2449.5005,403.01667,2460764.13333,1.02875,551.5
2291.47,10114172.0,1.25656,2296.25633,706.845,9229163.01667,1.24885,555.7
2440.21,3375802.0,1.0405,2449.24533,408.01833,2490765.68333,1.02907,556.7
2296.93,10084193.0,1.24762,2296.63783,711.94,9199162.83333,1.24823,560.7
2442.87,3405741.0,1.03711,2449.092,413.00667,2520766.46667,1.02927,561.9
2301.24,10054114.0,1.24062,2296.388,717.035,9169162.48333,1.24864,565.9
2436.89,3435830.0,1.04476,2448.95917,418.00667,2550767.25,1.02944,567.2
2281.26,10024177.0,1.2735,2296.033,722.12833,9139163.0,1.24923,571.0
2405.67,3465755.0,1.08597,2448.19183,423.00667,2580767.76667,1.03044,572.4
2305.67,9994233.0,1.23348,2296.3185,727.21833,9109162.63333,1.24876,576.2
2402.68,3495843.0,1.09003,2447.5855,428.02,2610768.41667,1.03124,577.7
2301.34,9964141.0,1.24046,2296.19933,732.30833,9079160.01667,1.24895,581.3
