DISTANCE_MA5,TEMPERATURE_MA5,TIME_MA5,RETRACAO_MA5
990.79133,572.95,-315632.75444,0.99165
990.74607,573.05,-315074.69705,0.99179
990.72903,573.15,-314524.14716,0.99184
990.74532,573.25,-313983.60727,0.99179
990.78651,573.35,-313453.07737,0.99167
990.81943,573.45,-312879.17082,0.99157
990.68676,573.55,-312318.61093,0.99197
990.76833,573.65,-311768.06104,0.99172
990.81506,573.75,-311217.51115,0.99158
990.70151,573.85,-310656.95126,0.99192
990.52681,573.95,-310101.39638,0.99244
990.57106,574.05,-309580.87648,0.99231
990.57158,574.15,-309025.32159,0.99231
990.48003,574.25,-308474.7717,0.99258
990.46898,574.35,-307934.23181,0.99262
990.49542,574.45,-307378.67692,0.99254
990.57833,574.55,-306828.12703,0.99229
990.58356,574.65,-306267.56714,0.99227
990.46142,574.75,-305747.04725,0.99264
990.46685,574.85,-305206.50735,0.99262
990.51652,574.95,-304635.93747,0.99247
990.51624,575.05,-304055.35758,0.99247
990.58247,575.15,-303499.80269,0.99227
990.66857,575.25,-302939.24281,0.99201
990.70513,575.35,-302368.67292,0.99191
990.68738,575.45,-301819.79136,0.99196
990.712,575.55,-301229.20148,0.99189
990.69545,575.65,-300648.6216,0.99194
990.83691,575.75,-300038.01172,0.99151
990.86994,575.85,-299457.43184,0.99141
990.90774,575.95,-298876.85195,0.9913
990.95265,576.05,-298296.27207,0.99116
990.9139,576.15,-297725.70218,0.99128
990.95818,576.25,-297145.1223,0.99115
990.88716,576.35,-296564.54241,0.99136
990.8844,576.45,-295987.29919,0.99137
990.80544,576.55,-295446.7593,0.9916
990.80608,576.65,-294906.21941,0.9916
990.66478,576.75,-294355.66952,0.99203
990.73119,576.85,-293775.08964,0.99183
990.72095,576.95,-293231.21308,0.99186
990.60398,577.05,-292670.65319,0.99221
990.50915,577.15,-292090.07331,0.99249
990.45381,577.25,-291509.49342,0.99266
990.37856,577.35,-290923.90854,0.99288
990.31181,577.45,-290329.98199,0.99309
990.27195,577.55,-289712.69878,0.9932
990.12128,577.65,-289132.1189,0.99366
990.15105,577.75,-288531.51902,0.99357
990.05168,577.85,-287950.93913,0.99387
990.00743,577.95,-287353.67592,0.994
990.06578,578.05,-286763.08604,0.99383
990.04072,578.15,-286172.49616,0.9939
990.02352,578.25,-285571.89628,0.99396
990.05263,578.35,-284996.32139,0.99387
990.03617,578.45,-284429.08817,0.99392
990.0472,578.55,-283879.20561,0.99389
990.25122,578.66,-283248.57574,0.99328
990.22114,578.77,-282617.94587,0.99337
990.15824,578.88,-281967.296,0.99356
990.1411,578.99,-281316.64613,0.99361
