DISTANCE_MA5,TEMPERATURE_MA5,TIME_MA5,RETRACAO_MA5
1013.66645,511.95,-5820.81384,1.00034
1013.56419,512.05,-5437.09725,1.00064
1013.44286,512.15,-5076.73732,1.001
1013.44874,512.26,-4706.36739,1.00099
1013.33811,512.37,-4335.99747,1.00131
1013.24825,512.48,-3995.65754,1.00157
1013.151,512.59,-3675.3376,1.00186
1013.06879,512.71,-3345.00767,1.0021
1013.13292,512.83,-3014.67773,1.00191
1013.11642,512.95,-2694.3578,1.00196
1013.08917,513.07,-2384.04786,1.00204
1012.72638,513.2,-2073.73792,1.00317
1012.56767,513.33,-1753.41798,1.00366
1012.26309,513.46,-1443.94221,1.00458
1011.81534,513.59,-1145.3106,1.00593
1011.31068,513.72,-846.679,1.00744
1010.39909,513.85,-558.05739,1.01018
1009.41264,513.97,-279.44578,1.01318
1008.12655,514.09,-0.83417,1.01709
1006.73601,514.21,267.76745,1.02134
1004.95659,514.33,536.36906,1.02682
1003.46043,514.45,814.98067,1.03143
1001.55851,514.57,1083.58228,1.03731
999.68054,514.69,1363.02806,1.04317
998.02429,514.81,1663.328,1.04836
996.27237,514.93,1963.62794,1.05385
994.78729,515.05,2263.92788,1.05855
993.37404,515.17,2564.22782,1.06304
992.06421,515.3,2884.54776,1.06722
991.04617,515.43,3234.89769,1.07047
990.42625,515.56,3585.24762,1.07248
989.86504,515.68,3925.58755,1.07429
989.486,515.81,4275.93748,1.07552
989.284,515.93,4616.27741,1.07617
988.94139,516.05,4956.61734,1.07728
988.72781,516.17,5316.97727,1.07797
988.6381,516.29,5687.3472,1.07827
988.60193,516.41,6067.72712,1.07838
988.61318,516.52,6448.10704,1.07835
988.56976,516.63,6828.48697,1.07849
988.29043,516.74,7218.87689,1.0794
988.09626,516.85,7629.28681,1.08003
987.95343,516.95,8049.70672,1.0805
987.80985,517.05,8470.12664,1.08097
987.6199,517.15,8903.89322,1.0816
987.27226,517.25,9330.98647,1.08275
987.11344,517.35,9801.45637,1.08327
986.94703,517.45,10452.10624,1.08382
986.71863,517.55,11147.08611,1.08457
986.42002,517.65,11734.33932,1.08555
986.29115,517.75,12234.83922,1.08598
