DISTANCE_MA5,TEMPERATURE_MA5,TIME_MA5,RETRACAO_MA5
1054.01345,547.15,-234415.8015,0.99568
1053.88447,547.25,-233911.96493,0.99605
1053.87835,547.35,-233401.45503,0.99607
1054.00422,547.45,-232887.60847,0.99571
1054.08803,547.55,-232353.74191,0.99547
1053.94696,547.65,-231803.19202,0.99587
1053.92844,547.75,-231272.66213,0.99593
1053.85349,547.85,-230728.78557,0.99614
1053.7446,547.95,-230198.25567,0.99645
1053.71627,548.05,-229657.71578,0.99653
1053.65979,548.15,-229143.86922,0.99669
1053.73568,548.25,-228623.34932,0.99647
1053.77306,548.35,-228082.80943,0.99637
1053.80265,548.45,-227568.96287,0.99628
1053.71443,548.55,-227021.74964,0.99653
1053.80408,548.65,-226491.21975,0.99628
1053.80113,548.75,-225950.67986,0.99629
1053.80421,548.85,-225410.13996,0.99628
1053.94021,548.95,-224879.61007,0.99589
1054.04146,549.05,-224349.08018,0.99561
1053.95699,549.15,-223811.87695,0.99585
1053.80451,549.25,-223291.35705,0.99628
1053.70481,549.35,-222760.82716,0.99656
1053.54708,549.45,-222193.59394,0.99701
1053.44479,549.55,-221643.04405,0.9973
1053.46608,549.65,-221112.51416,0.99724
1053.34758,549.75,-220591.99426,0.99757
1053.40492,549.85,-220071.47436,0.99741
1053.17385,549.95,-219540.94447,0.99807
1052.89898,550.05,-219000.40458,0.99885
1052.87901,550.15,-218449.85469,0.99891
1052.89134,550.25,-217889.2948,0.99887
1052.81534,550.35,-217358.7649,0.99909
1052.76447,550.45,-216848.25501,0.99923
1052.78648,550.55,-216317.72511,0.99917
1052.7434,550.65,-215747.15523,0.99929
1052.87069,550.75,-215166.57534,0.99893
1052.70952,550.85,-214616.02545,0.99939
1052.76658,550.95,-214085.49556,0.99923
1052.81765,551.05,-213544.95567,0.99908
1052.95183,551.15,-212994.40578,0.9987
1052.89133,551.25,-212463.87588,0.99887
1053.04988,551.35,-211923.33599,0.99842
1053.26609,551.45,-211372.7861,0.99781
1053.41695,551.55,-210832.24621,0.99738
1053.34897,551.65,-210325.74031,0.99757
1053.31338,551.75,-209815.23041,0.99767
1053.45763,551.85,-209314.73051,0.99726
1053.44699,551.95,-208799.21562,0.99729
1053.44159,552.05,-208308.72571,0.99731
1053.35941,552.15,-207803.22081,0.99754
1053.36611,552.25,-207292.71092,0.99752
1053.14756,552.35,-206772.19102,0.99815
1052.87956,552.45,-206271.69112,0.99891
1052.71195,552.55,-205781.20122,0.99938
1052.88019,552.65,-205266.68732,0.9989
1052.84529,552.75,-204756.17742,0.999
1052.78571,552.85,-204195.61754,0.99917
1052.5596,552.95,-203610.03265,0.99982
1052.59171,553.05,-203069.49276,0.99972
1052.5951,553.15,-202533.95787,0.99972
1052.43933,553.25,-201983.40798,1.00016
1052.5225,553.35,-201442.86809,0.99992
1052.5249,553.45,-200892.3182,0.99992
1052.38008,553.55,-200321.74831,1.00033
1052.15792,553.65,-199761.18842,1.00096
1052.05928,553.75,-199210.63853,1.00125
1051.91412,553.85,-198680.10864,1.00166
