READ_NUMBER	READ_TIMER	READ_INTERVAL	READ_EXT_TEMP	READ_INT_TEMP	READ_CURRENT	READ_VOLTAGE	READ_HEAT	READ_POWER	READ_ON
0	3041	3041	27.1	213.6	0.001238	0.147717	4214.13	0.0002	1
1	3315	274	29.9	235.0	0.000400	0.151505	4214.13	0.0001	1
2	3507	192	30.1	237.1	0.001225	0.149611	4214.13	0.0002	1
3	3698	191	30.2	237.3	0.000413	0.157186	4214.13	0.0001	1
4	3890	192	30.2	237.4	0.001238	0.153398	4214.13	0.0002	1
5	4081	191	30.2	237.3	0.000425	0.149611	4214.13	0.0001	1
6	4273	192	30.2	237.4	0.001225	0.151505	4214.13	0.0002	1
7	4464	191	30.2	237.4	0.000463	0.143929	4214.13	0.0001	1
8	4656	192	30.2	237.4	0.001138	0.149611	4214.13	0.0002	1
9	4850	194	30.2	237.4	0.000450	0.142036	4214.13	0.0001	1
10	5042	192	30.2	237.4	0.001250	0.151505	713.29	0.0002	1
11	5234	192	30.2	237.4	0.000500	0.153398	713.29	0.0001	1
12	5426	192	30.2	237.3	0.001213	0.151505	713.29	0.0002	1
13	5617	191	30.2	237.4	0.000450	0.149611	713.29	0.0001	1
14	5809	192	30.2	237.4	0.001238	0.140142	713.29	0.0002	1
15	6001	192	30.2	237.4	0.000450	0.149611	713.29	0.0001	1
16	6193	192	30.1	237.4	0.001250	0.147717	713.29	0.0002	1
17	6384	191	30.1	237.4	0.000425	0.149611	713.29	0.0001	1
18	6579	195	30.2	237.4	0.000988	0.151505	713.29	0.0001	1
19	6770	191	30.1	237.4	0.000725	0.140142	713.29	0.0001	1
20	6962	192	30.2	237.5	0.001013	0.147717	3.30	0.0001	1
21	7153	191	30.1	237.4	0.000650	0.151505	3.30	0.0001	1
22	7343	190	30.2	237.4	0.001200	0.149611	3.30	0.0002	1
23	7570	227	30.1	237.4	0.000675	0.151505	3.30	0.0001	1
24	7764	194	30.1	237.5	0.000563	0.147717	3.30	0.0001	1
25	7954	190	30.1	237.4	0.000725	0.145823	3.30	0.0001	1
26	8146	192	30.1	237.4	0.000763	0.147717	3.30	0.0001	1
27	8336	190	30.2	237.4	0.000550	0.149611	3.30	0.0001	1
28	8525	189	30.2	237.5	0.001213	0.138248	3.30	0.0002	1
29	8715	190	30.2	237.5	0.000550	0.151505	3.30	0.0001	1
30	8904	189	30.1	237.4	0.000775	0.145823	-2.82	0.0001	1
31	9094	190	30.1	237.4	0.001163	0.151505	-2.82	0.0002	1
32	9284	190	30.1	237.4	0.000425	0.140142	-2.82	0.0001	1
33	9475	191	30.1	237.5	0.001200	0.145823	-2.82	0.0002	1
34	9665	190	30.2	237.5	0.000513	0.143929	-2.82	0.0001	1
35	9859	194	30.2	237.4	0.001213	0.147717	-2.82	0.0002	1
36	10049	190	30.1	237.4	0.000463	0.147717	-2.82	0.0001	1
37	10242	193	30.1	237.4	0.001113	0.143929	-2.82	0.0002	1
