DISTANCE,TEMPERATURE,TIME
992.0,572.5,-318351.30306
992.0,572.5,-318334.61973000003
992.0,572.5,-318317.9364
992.0,572.5,-318301.25307000004
994.02,572.5,-318284.56974
992.0,572.5,-318267.88641000004
992.01,572.5,-318251.20308
994.01,572.5,-318234.51975000004
992.0,572.5,-318217.83642
992.0,572.5,-318201.15309000004
986.03,572.5,-318184.46976
992.0,572.5,-318167.78643000004
992.0,572.5,-318151.1031
992.0,572.5,-318134.41977000004
992.0,572.5,-318117.73644
990.02,572.5,-318101.05311000004
992.02,572.5,-318084.36978
984.02,572.5,-318067.68645000004
986.0,572.5,-318051.00312
994.02,572.5,-318034.31979000004
990.0,572.5,-318017.63646
988.0,572.5,-318000.95313000004
990.01,572.5,-317984.2698
986.01,572.5,-317967.58647000004
994.02,572.5,-317950.90314
988.02,572.5,-317934.21981000004
994.0,572.5,-317917.53648
988.02,572.5,-317900.85315000004
992.0,572.5,-317884.16982
992.0,572.5,-317867.48649000004
992.0,572.5,-317850.80316
992.0,572.5,-317834.11983000004
994.01,572.5,-317817.4365
994.01,572.6,-317800.75317000004
988.02,572.6,-317784.06984
988.02,572.6,-317767.38651000004
996.02,572.6,-317750.70318
992.01,572.6,-317734.01985000004
996.02,572.6,-317717.33652
988.02,572.6,-317700.65319000004
990.0,572.6,-317683.96986
988.01,572.6,-317667.28653000004
992.01,572.6,-317650.6032
992.0,572.6,-317633.91987000004
990.0,572.6,-317617.23654
992.0,572.6,-317600.55321000004
992.0,572.6,-317583.86988
990.0,572.6,-317567.18655000004
990.01,572.6,-317550.50322
990.03,572.6,-317533.81989000004
994.03,572.6,-317517.13656
990.01,572.6,-317500.45323000004
994.03,572.6,-317483.7699
994.03,572.6,-317467.08657000004
994.02,572.6,-317450.40324
992.01,572.6,-317433.71991000004
1000.05,572.6,-317417.03658
992.05,572.7,-317400.35325000004
998.03,572.7,-317383.66992
994.0,572.7,-317366.98659000004
990.0,572.7,-317350.30326
994.03,572.7,-317333.61993000004
994.03,572.7,-317316.9366
992.01,572.7,-317300.25327000004
992.01,572.7,-317283.56994
994.02,572.7,-317266.88661000005
994.02,572.7,-317250.20328
994.0,572.7,-317233.51995000005
1000.05,572.7,-317216.83662
988.05,572.7,-317200.15329000005
994.01,572.7,-317183.46996
988.02,572.7,-317166.78663000005
986.01,572.7,-317150.1033
990.02,572.7,-317133.41997000005
990.02,572.7,-317116.73664
986.01,572.7,-317100.05331000005
984.01,572.7,-317083.36998
990.01,572.7,-317066.68665000005
990.02,572.7,-317050.00332
986.03,572.7,-317033.31999000005
990.0,572.7,-317016.63666
986.01,572.7,-316999.95333000005
990.0,572.7,-316983.27
990.0,572.7,-316966.58667000005
990.01,572.7,-316949.90334
990.01,572.7,-316933.22001000005
992.0,572.7,-316916.53668
994.0,572.7,-316899.85335000005
992.0,572.7,-316883.17002
990.01,572.7,-316866.48669000005
990.01,572.7,-316849.80336
992.0,572.7,-316833.12003000005
986.0,572.7,-316816.4367
992.0,572.7,-316799.75337000005
