Frame,Time,Temperature,Arduino_Line,Distance,CircleLeft_X,CircleLeft_Y,CircleLeft_Radius,CircleRight_X,CircleRight_Y,CircleRight_Radius
1.0,2384018.0,590.9,11871.0,992.0,1492.5,670.5,173.89999389648438,500.5,669.5,168.39999389648438
2.0,2384018.0,590.9,11871.0,992.0,1491.5,669.5,175.0,500.5,671.5,169.5
3.0,2384018.0,590.9,11871.0,992.0,500.5,671.5,169.5,1492.5,670.5,173.89999389648438
4.0,2384018.0,590.9,11871.0,992.0,500.5,672.5,170.60000610351562,1491.5,669.5,175.0
5.0,2384018.0,590.9,11871.0,994.02,500.5,668.5,175.0,1493.5,673.5,177.1999969482422
6.0,2384018.0,590.9,11871.0,992.0,1491.5,669.5,175.0,499.5,667.5,175.0
7.0,2384018.0,590.9,11871.0,992.01,500.5,670.5,169.5,1491.5,673.5,177.1999969482422
8.0,2384018.0,590.9,11871.0,994.01,499.5,670.5,169.5,1493.5,673.5,177.1999969482422
9.0,2384219.0,590.9,11872.0,992.0,1492.5,670.5,175.0,499.5,667.5,175.0
10.0,2384219.0,590.9,11872.0,992.0,1492.5,673.5,177.1999969482422,500.5,672.5,170.60000610351562
11.0,2384219.0,590.9,11872.0,986.03,1490.5,673.5,177.1999969482422,503.5,666.5,172.8000030517578
12.0,2384219.0,590.9,11872.0,992.0,1492.5,672.5,177.1999969482422,499.5,670.5,168.39999389648438
13.0,2384219.0,590.9,11872.0,992.0,1491.5,673.5,177.1999969482422,500.5,672.5,170.60000610351562
14.0,2384219.0,590.9,11872.0,992.0,1493.5,673.5,177.1999969482422,501.5,672.5,170.60000610351562
15.0,2384219.0,590.9,11872.0,992.0,501.5,672.5,170.60000610351562,1493.5,673.5,177.1999969482422
16.0,2384219.0,590.9,11872.0,990.02,499.5,667.5,175.0,1489.5,673.5,170.60000610351562
17.0,2384219.0,590.9,11872.0,992.02,498.5,668.5,175.0,1489.5,673.5,178.3000030517578
18.0,2384219.0,590.9,11872.0,984.02,505.5,667.5,175.0,1489.5,673.5,177.1999969482422
19.0,2384219.0,590.9,11872.0,986.0,505.5,667.5,175.0,1492.5,670.5,175.0
20.0,2384219.0,590.9,11872.0,994.02,1490.5,673.5,177.1999969482422,495.5,667.5,171.6999969482422
21.0,2384419.0,591.0,11873.0,990.0,501.5,672.5,170.60000610351562,1492.5,670.5,175.0
22.0,2384419.0,591.0,11873.0,988.0,504.5,667.5,175.0,1492.5,670.5,175.0
23.0,2384419.0,591.0,11873.0,990.01,1489.5,673.5,178.3000030517578,500.5,669.5,168.39999389648438
24.0,2384419.0,591.0,11873.0,986.01,505.5,667.5,175.0,1492.5,671.5,175.0
25.0,2384419.0,591.0,11873.0,994.02,500.5,668.5,175.0,1493.5,673.5,177.1999969482422
26.0,2384419.0,591.0,11873.0,988.02,498.5,669.5,175.0,1486.5,676.5,173.89999389648438
27.0,2384419.0,591.0,11873.0,994.0,498.5,669.5,175.0,1491.5,670.5,175.0
28.0,2384419.0,591.0,11873.0,988.02,503.5,666.5,172.8000030517578,1491.5,671.5,175.0
29.0,2384419.0,591.0,11873.0,992.0,500.5,672.5,170.60000610351562,1492.5,671.5,175.0
30.0,2384419.0,591.0,11873.0,992.0,1491.5,670.5,175.0,500.5,672.5,170.60000610351562
31.0,2384419.0,591.0,11873.0,992.0,1491.5,670.5,175.0,500.5,672.5,170.60000610351562
32.0,2384419.0,591.0,11873.0,992.0,500.5,672.5,170.60000610351562,1491.5,670.5,175.0
33.0,2384620.0,590.9,11874.0,994.01,496.5,668.5,172.8000030517578,1489.5,672.5,177.1999969482422
34.0,2384620.0,590.9,11874.0,994.01,1489.5,672.5,177.1999969482422,496.5,668.5,172.8000030517578
35.0,2384620.0,590.9,11874.0,988.02,1490.5,673.5,177.1999969482422,502.5,668.5,175.0
36.0,2384620.0,590.9,11874.0,988.02,1490.5,673.5,177.1999969482422,501.5,668.5,175.0
37.0,2384620.0,590.9,11874.0,996.02,1491.5,673.5,177.1999969482422,496.5,668.5,172.8000030517578
38.0,2384620.0,590.9,11874.0,992.01,1492.5,673.5,177.1999969482422,500.5,670.5,169.5
39.0,2384620.0,590.9,11874.0,996.02,496.5,668.5,172.8000030517578,1492.5,673.5,177.1999969482422
40.0,2384620.0,590.9,11874.0,988.02,1489.5,672.5,177.1999969482422,502.5,666.5,172.8000030517578
41.0,2384620.0,590.9,11874.0,990.0,1489.5,672.5,177.1999969482422,500.5,672.5,170.60000610351562
42.0,2384620.0,590.9,11874.0,988.01,1491.5,672.5,177.1999969482422,504.5,667.5,175.0
43.0,2384620.0,590.9,11874.0,992.01,1491.5,672.5,177.1999969482422,499.5,667.5,175.0
44.0,2384620.0,590.9,11874.0,992.0,1491.5,672.5,177.1999969482422,500.5,672.5,170.60000610351562
45.0,2384821.0,591.0,11875.0,990.0,500.5,672.5,170.60000610351562,1489.5,672.5,177.1999969482422
46.0,2384821.0,591.0,11875.0,992.0,1491.5,670.5,175.0,500.5,672.5,170.60000610351562
47.0,2384821.0,591.0,11875.0,992.0,500.5,672.5,170.60000610351562,1492.5,670.5,175.0
48.0,2384821.0,591.0,11875.0,990.0,499.5,671.5,170.60000610351562,1490.5,674.5,177.1999969482422
49.0,2384821.0,591.0,11875.0,990.01,1489.5,672.5,177.1999969482422,499.5,667.5,175.0
50.0,2384821.0,591.0,11875.0,990.03,504.5,667.5,175.0,1494.5,676.5,172.8000030517578
51.0,2384821.0,591.0,11875.0,994.03,1494.5,676.5,172.8000030517578,499.5,667.5,175.0
52.0,2384821.0,591.0,11875.0,990.01,1489.5,672.5,177.1999969482422,499.5,667.5,175.0
53.0,2384821.0,591.0,11875.0,994.03,1494.5,676.5,172.8000030517578,499.5,667.5,175.0
54.0,2384821.0,591.0,11875.0,994.03,1494.5,676.5,172.8000030517578,499.5,667.5,175.0
55.0,2384821.0,591.0,11875.0,994.02,1494.5,676.5,172.8000030517578,500.5,670.5,169.5
56.0,2384821.0,591.0,11875.0,992.01,1490.5,673.5,177.1999969482422,498.5,669.5,175.0
57.0,2384821.0,591.0,11875.0,1000.05,1494.5,676.5,172.8000030517578,493.5,666.5,169.5
58.0,2385022.0,591.1,11876.0,992.05,1494.5,676.5,172.8000030517578,502.5,665.5,172.8000030517578
59.0,2385022.0,591.1,11876.0,998.03,1494.5,676.5,172.8000030517578,496.5,667.5,172.8000030517578
60.0,2385022.0,591.1,11876.0,994.0,1491.5,669.5,175.0,498.5,669.5,175.0
61.0,2385022.0,591.1,11876.0,990.0,1489.5,672.5,177.1999969482422,500.5,670.5,169.5
62.0,2385022.0,591.1,11876.0,994.03,1494.5,676.5,172.8000030517578,499.5,667.5,175.0
63.0,2385022.0,591.1,11876.0,994.03,499.5,667.5,175.0,1494.5,676.5,172.8000030517578
64.0,2385022.0,591.1,11876.0,992.01,1494.5,676.5,172.8000030517578,501.5,672.5,170.60000610351562
65.0,2385022.0,591.1,11876.0,992.01,501.5,672.5,170.60000610351562,1494.5,676.5,172.8000030517578
66.0,2385022.0,591.1,11876.0,994.02,1494.5,676.5,172.8000030517578,499.5,670.5,169.5
67.0,2385022.0,591.1,11876.0,994.02,1494.5,676.5,172.8000030517578,499.5,670.5,169.5
68.0,2385022.0,591.1,11876.0,994.0,1491.5,672.5,177.1999969482422,498.5,669.5,175.0
69.0,2385022.0,591.1,11876.0,1000.05,1494.5,676.5,172.8000030517578,493.5,666.5,169.5
70.0,2385223.0,591.1,11877.0,988.05,501.5,665.5,172.8000030517578,1489.5,676.5,172.8000030517578
71.0,2385223.0,591.1,11877.0,994.01,500.5,672.5,170.60000610351562,1494.5,676.5,172.8000030517578
72.0,2385223.0,591.1,11877.0,988.02,1490.5,672.5,177.1999969482422,502.5,666.5,172.8000030517578
73.0,2385223.0,591.1,11877.0,986.01,1490.5,670.5,175.0,503.5,665.5,172.8000030517578
74.0,2385223.0,591.1,11877.0,990.02,1492.5,673.5,177.1999969482422,502.5,668.5,175.0
75.0,2385223.0,591.1,11877.0,990.02,1490.5,673.5,177.1999969482422,499.5,667.5,175.0
76.0,2385223.0,591.1,11877.0,986.01,504.5,667.5,175.0,1489.5,672.5,177.1999969482422
77.0,2385223.0,591.1,11877.0,984.01,505.5,667.5,175.0,1489.5,672.5,177.1999969482422
78.0,2385223.0,591.1,11877.0,990.01,1492.5,670.5,173.89999389648438,501.5,665.5,172.8000030517578
79.0,2385223.0,591.1,11877.0,990.02,502.5,667.5,175.0,1492.5,674.5,175.0
80.0,2385223.0,591.1,11877.0,986.03,499.5,667.5,175.0,1486.5,676.5,173.89999389648438
81.0,2385223.0,591.1,11877.0,990.0,1489.5,673.5,178.3000030517578,500.5,672.5,170.60000610351562
82.0,2385427.0,591.2,11878.0,986.01,504.5,667.5,175.0,1490.5,672.5,177.1999969482422
83.0,2385427.0,591.2,11878.0,990.0,1490.5,672.5,177.1999969482422,500.5,672.5,170.60000610351562
84.0,2385427.0,591.2,11878.0,990.0,502.5,667.5,175.0,1492.5,670.5,175.0
85.0,2385427.0,591.2,11878.0,990.01,500.5,672.5,170.60000610351562,1490.5,676.5,172.8000030517578
86.0,2385427.0,591.2,11878.0,990.01,500.5,672.5,170.60000610351562,1490.5,676.5,172.8000030517578
87.0,2385427.0,591.2,11878.0,992.0,500.5,672.5,170.60000610351562,1491.5,670.5,175.0
88.0,2385427.0,591.2,11878.0,994.0,1491.5,670.5,175.0,498.5,669.5,175.0
89.0,2385427.0,591.2,11878.0,992.0,500.5,672.5,170.60000610351562,1491.5,670.5,175.0
90.0,2385427.0,591.2,11878.0,990.01,500.5,672.5,170.60000610351562,1490.5,676.5,172.8000030517578
91.0,2385427.0,591.2,11878.0,990.01,1490.5,676.5,172.8000030517578,500.5,672.5,170.60000610351562
92.0,2385427.0,591.2,11878.0,992.0,1491.5,670.5,175.0,499.5,670.5,168.39999389648438
93.0,2385427.0,591.2,11878.0,986.0,1490.5,673.5,177.1999969482422,503.5,671.5,170.60000610351562
94.0,2385628.0,591.2,11879.0,992.0,1491.5,670.5,175.0,500.5,672.5,170.60000610351562
95.0,2385628.0,591.2,11879.0,990.02,500.5,668.5,175.0,1490.5,673.5,177.1999969482422
96.0,2385628.0,591.2,11879.0,994.03,499.5,667.5,175.0,1494.5,676.5,172.8000030517578
97.0,2385628.0,591.2,11879.0,994.01,500.5,672.5,170.60000610351562,1494.5,676.5,172.8000030517578
98.0,2385628.0,591.2,11879.0,992.0,1491.5,673.5,177.1999969482422,500.5,671.5,170.60000610351562
99.0,2385628.0,591.2,11879.0,992.01,1491.5,673.5,177.1999969482422,499.5,670.5,169.5
100.0,2385628.0,591.2,11879.0,992.0,1491.5,673.5,177.1999969482422,500.5,672.5,170.60000610351562
101.0,2385628.0,591.2,11879.0,992.01,1491.5,673.5,177.1999969482422,499.5,670.5,168.39999389648438
102.0,2385628.0,591.2,11879.0,990.02,1490.5,673.5,177.1999969482422,499.5,667.5,175.0
103.0,2385628.0,591.2,11879.0,990.02,1490.5,673.5,177.1999969482422,499.5,667.5,175.0
104.0,2385628.0,591.2,11879.0,994.02,499.5,667.5,175.0,1493.5,673.5,177.1999969482422
105.0,2385628.0,591.2,11879.0,988.03,499.5,667.5,175.0,1487.5,676.5,173.89999389648438
106.0,2385828.0,591.2,11880.0,994.0,500.5,671.5,170.60000610351562,1493.5,673.5,177.1999969482422
107.0,2385828.0,591.2,11880.0,990.02,1493.5,673.5,177.1999969482422,504.5,667.5,175.0
108.0,2385828.0,591.2,11880.0,992.01,1491.5,672.5,177.1999969482422,499.5,667.5,175.0
109.0,2385828.0,591.2,11880.0,992.02,499.5,667.5,175.0,1491.5,673.5,177.1999969482422
110.0,2385828.0,591.2,11880.0,992.02,1491.5,673.5,177.1999969482422,500.5,668.5,175.0
111.0,2385828.0,591.2,11880.0,992.02,500.5,668.5,175.0,1491.5,673.5,177.1999969482422
112.0,2385828.0,591.2,11880.0,992.01,1491.5,672.5,177.1999969482422,500.5,668.5,175.0
113.0,2385828.0,591.2,11880.0,992.02,1491.5,673.5,177.1999969482422,500.5,668.5,175.0
114.0,2385828.0,591.2,11880.0,992.0,500.5,668.5,175.0,1492.5,670.5,175.0
115.0,2385828.0,591.2,11880.0,988.03,500.5,668.5,175.0,1488.5,675.5,172.8000030517578
116.0,2385828.0,591.2,11880.0,992.0,499.5,667.5,175.0,1491.5,670.5,175.0
117.0,2385828.0,591.2,11880.0,992.0,499.5,667.5,175.0,1491.5,670.5,175.0
118.0,2386029.0,591.2,11881.0,990.02,499.5,667.5,175.0,1489.5,673.5,170.60000610351562
119.0,2386029.0,591.2,11881.0,988.03,499.5,667.5,175.0,1487.5,676.5,173.89999389648438
120.0,2386029.0,591.2,11881.0,992.01,499.5,667.5,175.0,1491.5,672.5,176.10000610351562
121.0,2386029.0,591.2,11881.0,992.01,499.5,667.5,175.0,1491.5,672.5,176.10000610351562
122.0,2386029.0,591.2,11881.0,986.03,499.5,667.5,175.0,1486.5,676.5,173.89999389648438
